City,Street,Accident_Count
Albertson,S Service Rd,4
Albertson,Willis Ave,4
Albertson, John David Grady Rd,2
Albertson,I U Willets Rd,2
Albertson, Wallace Walker Rd,1
Albertson, Wheeler Ave,1
Albertson,Albertson Pkwy,1
Albertville,I-94 E,249
Albertville,I-94 W,118
Albertville,61st St NE,63
Albertville,Labeaux Ave NE,26
Albertville,AL Highway 68,14
Albertville,US-52 E,10
Albertville,US Highway 431,6
Albertville, Labeaux Ave NE,5
Albertville, AL Highway 68,4
Albertville, US Highway 431,4
Albia, Highway 137,2
Albia, Highway 34,2
Albia, 735th Ave,1
Albia,C Ave E,1
Albia,Highway 34,1
Albia,Highway 34 W,1
Albia,Highway 5,1
Albia,S Main St,1
Albia,US-34,1
Albin, Torrington Rd,2
Albion,I-94 W,53
Albion,Highway 128,31
Albion, Shoreline Hwy,29
Albion,I-94,26
Albion, S Shoreline Hwy,23
Albion,I-94 E,22
Albion, Route 6N,13
Albion, Albion Ridge Rd,12
Albion,Shoreline Hwy,11
Albion, E State St,8
Albrightsville, State Route 903,6
Albrightsville, N Shore Dr,1
Albrightsville,Chippewa Trl,1
Albrightsville,Meckesville Rd,1
Albrightsville,S Old Stage Rd,1
Albrightsville,Scenic Dr,1
Albuquerque,Coronado Fwy W,768
Albuquerque,I-25 N,564
Albuquerque,Coronado Fwy E,376
Albuquerque,I-25 S,344
Albuquerque,Coors Blvd NW,229
Albuquerque,San Mateo Blvd NE,166
Albuquerque,Wyoming Blvd NE,154
Albuquerque,Carlisle Blvd NE,138
Albuquerque,I-40,137
Albuquerque,Unser Blvd NW,129
Alburgh, US Route 2 S,5
Alburgh, Middle Rd,2
Alburgh, Route 78,2
Alburgh, VT Route 78,1
Alburgh,Route 78,1
Alburtis, State St,2
Alburtis,Baldy Hill Rd,1
Alburtis,Bitting Rd,1
Alburtis,Huffs Church Rd,1
Alcoa,Alcoa Hwy,32
Alcoa, Alcoa Hwy,16
Alcoa,Airport Hwy,6
Alcoa,Airport Plaza Blvd,4
Alcoa,Judson Dr,3
Alcoa,N Hall Rd,3
Alcoa,US-129,3
Alcoa,TN-115,2
Alcoa, Airport Hwy,1
Alcoa, N Hall Rd,1
Alcolu,I-95 N,103
Alcolu,I-95,94
Alcolu,Sumter Hwy,84
Alcolu,I-95 S,72
Alcolu,Highway 301,17
Alcolu, Plowden Mill Rd,11
Alcolu,Plowden Mill Rd,10
Alcolu, Wilson Rd,7
Alcolu, Highway 301,5
Alcolu, N Brewington Rd,5
Alcova, State Highway 220,1
Alcove, Indian Fields Rd,3
Alda,I-80 W,4
Alda,I-80 E,3
Aldan, E Providence Rd,2
Aldan, W Providence Rd,2
Aldan, W Wayne Ave,2
Aldan,E Magnolia Ave,2
Aldan, S Glenwood Ave,1
Aldan, Springfield Rd,1
Aldan,Springfield Rd,1
Alden,I-90 E,73
Alden,I-90 W,65
Alden, Walden Ave,10
Alden, State Highway 109,6
Alden,S Broadway,6
Alden,US-20 W,5
Alden,US-20 E,3
Alden,Walden Ave,3
Alden, Clinton St,2
Alden, Genesee St,2
Alder, Front St,1
Alder Creek, State Route 12,5
Alder Creek,NY-28,1
Alder Creek,State Route 28,1
Alderpoint, Alderpoint Rd,20
Alderpoint, Zenia Bluff Rd,5
Alderpoint,Alderpoint Rd,4
Alderpoint, Alder Ave,2
Alderpoint, Dokweiller Rd,2
Alderpoint, Fort Seward Rd,2
Alderpoint, Harris Rd,1
Alderpoint,Hoaglin Rd,1
Alderson, Alta Dr,1
Aldie,John Mosby Hwy,97
Aldie, James Monroe Hwy,84
Aldie, John Mosby Hwy,57
Aldie,James Monroe Hwy,57
Aldie,Evergreen Mills Rd,35
Aldie, Braddock Rd,30
Aldie,Stone Springs Blvd,26
Aldie,Braddock Rd,24
Aldie, Evergreen Mills Rd,16
Aldie,Northstar Blvd,15
Aldrich,Central Ave S,10
Aldrich, 193rd Ave,8
Aldrich, State Highway 210,5
Aldrich,201st Ave,1
Aldrich,E 510th Rd,1
Aldrich,Main St E,1
Aldrich,Main St W,1
Aldrich,State Highway 123,1
Aldrich,State Highway 210,1
Aledo,I-30 E,99
Aledo,Chapel Creek Blvd,43
Aledo,I-20 W,32
Aledo,West Fwy,18
Aledo,I-30 W,14
Aledo,I-20 E,10
Aledo,N FM 1187,8
Aledo,S FM 5,2
Aledo, Camp Bowie West Blvd,1
Aledo, Elm St,1
Alexander,Alexander Rd,14
Alexander, Alexander Rd,10
Alexander, Main St,8
Alexander,Highway 85 N,6
Alexander, Highway 5 N,5
Alexander,I-72 W,4
Alexander, Highway 200,3
Alexander, US Highway 85,3
Alexander,Windy Farm Dr,3
Alexander, Old Stage Coach Rd,2
Alexander City,Highway 280,18
Alexander City, Jefferson St,4
Alexander City, Sanford Rd,4
Alexander City,Cherokee Rd,3
Alexander City,Highway 22 W,3
Alexander City,Kowaliga Rd,3
Alexander City, Highway 280,2
Alexander City, Highway 63 N,2
Alexander City,Dean Rd,2
Alexander City,Robinson Rd,2
Alexandria,Capital Beltway E,1141
Alexandria,Capital Beltway W,774
Alexandria,Henry Shirley Memorial Hwy N,704
Alexandria,Henry Shirley Memorial Hwy S,530
Alexandria,I-395 N,365
Alexandria,I-395 S,327
Alexandria, Richmond Hwy,325
Alexandria,Capital Beltway,304
Alexandria,I-94 E,300
Alexandria,Duke St,256
Alexandria Bay,I-81 S,4
Alexandria Bay, State Route 12,2
Alexandria Bay, Taylor Rd,2
Alexandria Bay,State Route 12,2
Alexandria Bay,Church St,1
Alexandria Bay,Holland St,1
Alexandria Bay,I-81 N,1
Alexis, Alexis High Shoals Rd,2
Alexis, Charles Raper Jonas Hwy,2
Alexis, Maplewood Ln,1
Alexis, Mount Zion Church Rd,1
Alford,Highway 231,30
Alford, Highway 231,12
Alford,Georgia St,7
Alford, Georgia St,6
Alford,Lakepoint Rd,4
Alford,Pike Pond Rd,4
Alford, Lakepoint Rd,3
Alford, Park Ave,3
Alford, Nortek Blvd,2
Alford, Sherry Cir,2
Alfred, Biddeford Rd,3
Alfred, Highway 46,2
Alfred, Waterboro Rd,1
Alfred Station, RT-21,5
Alfred Station,State Route 21,1
Alger,I-75 N,4
Alger,I-75 S,4
Alger,E Alger Rd,1
Algodones,I-25 N,9
Algodones,I-25 S,9
Algodones,US-85 S,7
Algodones,I-25,4
Algodones,Budaghers Dr,1
Algodones,NM-315,1
Algodones,US-85 N,1
Algona,4th Ave S,2
Algona,Pioneer,2
Algona, Highway 18,1
Algona,Celery Ave,1
Algona,Milwaukee Blvd S,1
Algonac, Pointe Tremble Rd,1
Algonac,Pointe Tremble Rd,1
Algonquin,W Algonquin Rd,14
Algonquin,S Randall Rd,6
Algonquin,E Algonquin Rd,4
Algonquin, S Randall Rd,3
